done writing
done reading
done reading
done writing
8096 bytes | received 8096 bytes
wrote 2088768 bytes | received 2080672 bytes
wrote 2088768 bytes | received 2088768 bytes
wrote 2096864 bytes | received 2088768 bytes
wrote 2096864 bytes | received 2096864 bytes
wrote 2104960 bytes | received 2096864 bytes
wrote 2104960 bytes | received 2104960 bytes
wrote 2113056 bytes | received 2104960 bytes
wrote 2113056 bytes | received 2113056 bytes
wrote 2121152 bytes | received 2113056 bytes
wrote 2121152 bytes | received 2121152 bytes
wrote 2129248 bytes | received 2121152 bytes
wrote 2129248 bytes | received 2129248 bytes
wrote 2137344 bytes | received 2129248 bytes
wrote 2137344 bytes | received 2137344 bytes
wrote 2145440 bytes | received 2137344 bytes
wrote 2145440 bytes | received 2145440 bytes
wrote 2153536 bytes | received 2145440 bytes
wrote 2153536 bytes | received 2153536 bytes
wrote 2161632 bytes | received 2153536 bytes
wrote 2161632 bytes | received 2161632 bytes
wrote 2169728 bytes | received 2161632 bytes
wrote 2169728 bytes | received 2169728 bytes
wrote 2177824 bytes | received 2169728 bytes
wrote 2177824 bytes | received 2177824 bytes
wrote 2185920 bytes | received 2177824 bytes
wrote 2185920 bytes | received 2185920 bytes
wrote 2194016 bytes | received 2185920 bytes
wrote 2194016 bytes | received 2194016 bytes
wrote 2202112 bytes | received 2194016 bytes
wrote 2202112 bytes | received 2202112 bytes
wrote 2210208 bytes | received 2202112 bytes
wrote 2210208 bytes | received 2210208 bytes
wrote 2218304 bytes | received 2210208 bytes
wrote 2218304 bytes | received 2218304 bytes
wrote 2226400 bytes | received 2218304 bytes
wrote 2226400 bytes | received 2226400 bytes
wrote 2234496 bytes | received 2226400 bytes
wrote 2234496 bytes | received 2234496 bytes
wrote 2242592 bytes | received 2234496 bytes
wrote 2242592 bytes | received 2242592 bytes
wrote 2250688 bytes | received 2242592 bytes
wrote 2250688 bytes | received 2250688 bytes
wrote 2258784 bytes | received 2250688 bytes
wrote 2258784 bytes | received 2258784 bytes
wrote 2266880 bytes | received 2258784 bytes
wrote 2266880 bytes | received 2266880 bytes
wrote 2274976 bytes | received 2266880 bytes
wrote 2274976 bytes | received 2274976 bytes
wrote 2283072 bytes | received 2274976 bytes
wrote 2283072 bytes | received 2283072 bytes
wrote 2291168 bytes | received 2283072 bytes
wrote 2291168 bytes | received 2291168 bytes
wrote 2299264 bytes | received 2291168 bytes
wrote 2299264 bytes | received 2299264 bytes
wrote 2307360 bytes | received 2299264 bytes
wrote 2307360 bytes | received 2307360 bytes
wrote 2315456 bytes | received 2307360 bytes
wrote 2315456 bytes | received 2315456 bytes
wrote 2323552 bytes | received 2315456 bytes
wrote 2323552 bytes | received 2323552 bytes
wrote 2331648 bytes | received 2323552 bytes
wrote 2331648 bytes | received 2331648 bytes
wrote 2339744 bytes | received 2331648 bytes
wrote 2339744 bytes | received 2339744 bytes
wrote 2347840 bytes | received 2339744 bytes
wrote 2347840 bytes | received 2347840 bytes
wrote 2355936 bytes | received 2347840 bytes
wrote 2355936 bytes | received 2355936 bytes
wrote 2364032 bytes | received 2355936 bytes
wrote 2364032 bytes | received 2364032 bytes
wrote 2372128 bytes | received 2364032 bytes
wrote 2372128 bytes | received 2372128 bytes
wrote 2380224 bytes | received 2372128 bytes
wrote 2380224 bytes | received 2380224 bytes
wrote 2388320 bytes | received 2380224 bytes
wrote 2388320 bytes | received 2388320 bytes
wrote 2396416 bytes | received 2388320 bytes
wrote 2396416 bytes | received 2396416 bytes
wrote 2404512 bytes | received 2396416 bytes
wrote 2404512 bytes | received 2404512 bytes
wrote 2412608 bytes | received 2404512 bytes
wrote 2412608 bytes | received 2412608 bytes
wrote 2420704 bytes | received 2412608 bytes
wrote 2420704 bytes | received 2420704 bytes
wrote 2428800 bytes | received 2420704 bytes
wrote 2428800 bytes | received 2428800 bytes
wrote 2436896 bytes | received 2428800 bytes
wrote 2436896 bytes | received 2436896 bytes
wrote 2444992 bytes | received 2436896 bytes
wrote 2444992 bytes | received 2444992 bytes
wrote 2453088 bytes | received 2444992 bytes
wrote 2453088 bytes | received 2453088 bytes
wrote 2461184 bytes | received 2453088 bytes
wrote 2461184 bytes | received 2461184 bytes
wrote 2469280 bytes | received 2461184 bytes
wrote 2469280 bytes | received 2469280 bytes
wrote 2477376 bytes | received 2469280 bytes
wrote 2477376 bytes | received 2477376 bytes
wrote 2485472 bytes | received 2477376 bytes
wrote 2485472 bytes | received 2485472 bytes
wrote 2493568 bytes | received 2485472 bytes
wrote 2493568 bytes | received 2493568 bytes
wrote 2501664 bytes | received 2493568 bytes
wrote 2501664 bytes | received 2501664 bytes
wrote 2509760 bytes | received 2501664 bytes
wrote 2509760 bytes | received 2509760 bytes
wrote 2517856 bytes | received 2509760 bytes
wrote 2517856 bytes | received 2517856 bytes
wrote 2525952 bytes | received 2517856 bytes
wrote 2525952 bytes | received 2525952 bytes
wrote 2534048 bytes | received 2525952 bytes
wrote 2534048 bytes | received 2534048 bytes
wrote 2542144 bytes | received 2534048 bytes
wrote 2542144 bytes | received 2542144 bytes
wrote 2550240 bytes | received 2542144 bytes
wrote 2550240 bytes | received 2550240 bytes
wrote 2558336 bytes | received 2550240 bytes
wrote 2558336 bytes | received 2558336 bytes
wrote 2566432 bytes | received 2558336 bytes
wrote 2566432 bytes | received 2566432 bytes
wrote 2574528 bytes | received 2566432 bytes
wrote 2574528 bytes | received 2574528 bytes
wrote 2582624 bytes | received 2574528 bytes
wrote 2582624 bytes | received 2582624 bytes
wrote 2590720 bytes | received 2582624 bytes
wrote 2590720 bytes | received 2590720 bytes
wrote 2598816 bytes | received 2590720 bytes
wrote 2598816 bytes | received 2598816 bytes
wrote 2606912 bytes | received 2598816 bytes
wrote 2606912 bytes | received 2606912 bytes
wrote 2615008 bytes | received 2606912 bytes
wrote 2615008 bytes | received 2615008 bytes
wrote 2623104 bytes | received 2615008 bytes
wrote 2623104 bytes | received 2623104 bytes
wrote 2631200 bytes | received 2623104 bytes
wrote 2631200 bytes | received 2631200 bytes
wrote 2639296 bytes | received 2631200 bytes
wrote 2639296 bytes | received 2639296 bytes
wrote 2647392 bytes | received 2639296 bytes
